Model,Year,Miles,Location,Prices,Link,Scraped_On
 Ford explorer Sport SUV 4D,2015,184K miles,"Springboro, OH","$4,500",https://www.facebook.com//marketplace/item/446383048280304/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Nissan rogue SL Sport Utility 4D,2010,163K miles,"West Chester, OH","$6,000",https://www.facebook.com//marketplace/item/1112572356495564/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai accent,2010,190K miles,"Miamisburg, OH","$3,750",https://www.facebook.com//marketplace/item/1018077605932424/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai elantra SEL,2020,119K miles,"Miamisburg, OH","$9,900",https://www.facebook.com//marketplace/item/772347688341904/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord Sport Sedan 4D,2018,80K miles,"Cincinnati, OH","$4,000",https://www.facebook.com//marketplace/item/1394720905249548/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord hybrid Sedan 4D,2014,148K miles,"Cincinnati, OH","$7,300",https://www.facebook.com//marketplace/item/1000485124970304/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda civic EX Sedan 4D,2009,180K miles,"Cincinnati, OH","$4,800",https://www.facebook.com//marketplace/item/458475810397361/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota prius c Three Hatchback 4D,2014,120K miles,"Miamisburg, OH","$4,000",https://www.facebook.com//marketplace/item/1156113282329149/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda pilot EX-L Sport Utility 4D,2017,89K miles,"West Chester, OH","$17,700",https://www.facebook.com//marketplace/item/517737500635502/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Chevrolet spark 1LT Hatchback 4D,2017,165K miles,"Cincinnati, OH","$3,500",https://www.facebook.com//marketplace/item/303770859483385/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Ford focus SE Sedan 4D,2010,79K miles,"Cincinnati, OH","$4,700",https://www.facebook.com//marketplace/item/1382292692444502/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Chevrolet equinox LT Sport Utility 4D,2012,109K miles,"Hamilton, OH","$4,999",https://www.facebook.com//marketplace/item/988640626247396/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda civic LX Sedan 4D,2013,103K miles,"Cincinnati, OH","$5,500",https://www.facebook.com//marketplace/item/974711114132729/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord LX Sedan 4D,2008,181K miles,"West Chester, OH","$4,900",https://www.facebook.com//marketplace/item/997876645459559/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
