Model,Year,Miles,Location,Prices,Link,Scraped_On
 Chrysler 200 Limited Sedan 4D,2013,171K miles,"Kokomo, IN","$4,600",https://www.facebook.com//marketplace/item/1064080325718196/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 BMW 3 series 328i Coupe 2D,2007,158K miles,"West Lafayette, IN","$4,950",https://www.facebook.com//marketplace/item/384091204331649/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda cr-v EX Sport Utility 4D,2003,174K miles,"Lafayette, IN","$3,450",https://www.facebook.com//marketplace/item/1232239954853077/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota camry LE Sedan 4D,2000,210K miles,"Watseka, IL","$1,100",https://www.facebook.com//marketplace/item/3989691931265314/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Chevrolet equinox LT Sport Utility 4D,2010,160K miles,"West Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/3587866638130119/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 2.5 Sedan 4D,2007,242K miles,"Crawfordsville, IN","$3,000",https://www.facebook.com//marketplace/item/414647174911731/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Audi a4 3.2 Quattro Sedan 4D,2009,150K miles,"Lafayette, IN","$2,500",https://www.facebook.com//marketplace/item/443822141706529/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Chevrolet Aveo5 LT Hatchback Sedan 4D,2010,60K miles,"Lafayette, IN","$6,999",https://www.facebook.com//marketplace/item/26567135342873657/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Honda pilot Touring Sport Utility 4D,2011,130K miles,"Frankfort, IN","$11,500",https://www.facebook.com//marketplace/item/8196776020342155/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Subaru forester XT Sport Utility 4D,2009,220K miles,"West Lafayette, IN","$2,200",https://www.facebook.com//marketplace/item/1132100141358040/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
