Model,Location,Miles,Prices,Link,Year,Scraped_On
 Nissan altima 2.5 S Sedan 4D,"Battle Ground, IN",204K miles,"$4,300",/marketplace/item/995380898412372/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Subaru brz Limited Coupe 2D,"Lafayette, IN",76K miles,"$13,500",/marketplace/item/432801109632959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Toyota avalon,"Indianapolis, IN",97K miles,"$1,000",/marketplace/item/497272602868753/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Whitestown, IN",169K miles,"$5,790",/marketplace/item/459428610167451/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Jeep compass Limited Sport Utility 4D,"Frankfort, IN",130K miles,"$5,300",/marketplace/item/843893124310937/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Honda civic LX Sedan 4D,"Lafayette, IN",174K miles,"$6,000",/marketplace/item/1421868268461725/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Chevrolet malibu LS,"Carmel, IN",48K miles,"$13,900",/marketplace/item/708452761490718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet equinox Premier Sport Utility 4D,"Noblesville, IN",55K miles,"$15,700",/marketplace/item/511713704715976/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Nissan altima,"Indianapolis, IN",167K miles,"$4,990",/marketplace/item/1000941271386852/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
" Mazda mazda3 💯 approved with id, permit or drivers license","Indianapolis, IN",94K miles,"$1,000",/marketplace/item/443406791380648/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Audi a3 Premium Cabriolet 4D,"Lafayette, IN",45K miles,$515,/marketplace/item/876827280878877/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Dodge journey,"West Lafayette, IN",141K miles,"$6,500",/marketplace/item/1145021273504670/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
