Model,Location,Miles,Prices,Link,Year,Scraped_On
 Ford fusion hybrid 🤘,"Indianapolis, IN",,"$23,500",/marketplace/item/1436055623678748/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Chevrolet monte carlo SS Coupe 2D,"Lafayette, IN",90K miles,"$9,000",/marketplace/item/778645857715376/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1986,2024-07-02
 Hyundai sonata sel sedan,"Fishers, IN",44K miles,"$16,488",/marketplace/item/774803837963694/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Kia optima lx,"Carmel, IN",113K miles,"$9,900",/marketplace/item/3344319979209800/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Toyota corolla,"Whitestown, IN",68K miles,"$19,274",/marketplace/item/321189790965175/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Honda cr-v LX Sport Utility 4D,"Lafayette, IN",150K miles,"$11,100",/marketplace/item/786376613635572/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan maxima,"Indianapolis, IN",114K miles,"$2,000",/marketplace/item/3722483034699390/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Jeep cherokee limited,"Fishers, IN",84K miles,"$15,489",/marketplace/item/411854775050797/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Honda civic,"Indianapolis, IN",63K miles · Dealership,"$14,900",/marketplace/item/1414588892466518/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Toyota prius c,"Indianapolis, IN",177K miles,"$8,995",/marketplace/item/2117945681913303/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Honda accord ex,"Indianapolis, IN",100K miles · Dealership,"$9,900",/marketplace/item/960613559040008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Ford fusion,"Indianapolis, IN",115K miles,"$11,995",/marketplace/item/1583771762193774/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet suburban ltz 4wd,"Chicago, IL",143K miles,"$6,000",/marketplace/item/301205996321270/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Pontiac vibe Sport Wagon 4D,"Avon, IN",130K miles,"$4,500",/marketplace/item/992709739165105/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Volkswagen passat GLS Wagon 4D,"Kewanna, IN",175K miles,"$3,000",/marketplace/item/1510695826466698/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2003,2024-07-02
,"Indianapolis, IN",,"$2,000",/marketplace/item/1112596869963871/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,,2024-07-02
 Chevrolet equinox LT,"Indianapolis, IN",122K miles,"$13,495",/marketplace/item/867018401906060/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet hhr LS Sport Wagon 4D,"West Lafayette, IN",390K miles,"$1,300",/marketplace/item/1861813710931495/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Honda accord EX,"Elkhart, IN",163K miles,"$5,950",/marketplace/item/400759362966554/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
